Date,Invoice,Barcode,City, Units Sold , Invoice Total ,Salesperson ID
31-Jul-16,FA43721,GFRT45FRD2,Paris, 1 , $12 ,S-2705
5-Aug-16,FA48000,XRG527H52J,Antwerp, 2 , $22 ,S-3557
7-Aug-16,FA70262,HG74477GF1,Lyon, 5 , $65 ,S-6290
12-Aug-16,FA31099,HG74477GF1,Paris, 5 , $65 ,S-2705
13-Aug-16,FA21141,GFRT45FRD2,Toulouse, 5 , $60 ,S-3776
17-Aug-16,FA92906,GFRT45FRD2,Marseille, 5 , $60 ,S-4823
20-Aug-16,FA29477,HG74477GF1,Paris, 8 , $104 ,S-2705
24-Aug-16,FA51676,HG74477GF1,Barcelona, 8 , $104 ,S-8500
25-Aug-16,FA18698,GFRT45FRD2,Paris, 4 , $48 ,S-2705
27-Aug-16,FA96175,GFRT45FRD2,Lyon, 4 , $48 ,S-6290
1-Sep-16,FA53571,XRG527H52J,Antwerp, 6 , $66 ,S-3557
6-Sep-16,FA26811,XRG527H52J,Brussels, 6 , $66 ,S-9952
7-Sep-16,FA23374,HG74477GF1,Brussels, 7 , $91 ,S-9952
10-Sep-16,FA45181,XRG527H52J,Marseille, 4 , $44 ,S-4823
13-Sep-16,FA82546,HG74477GF1,Antwerp, 7 , $91 ,S-3557
13-Sep-16,FA28872,HG74477GF1,Paris, 6 , $78 ,S-2705
15-Sep-16,FA38597,XRG527H52J,Valencia, 4 , $44 ,S-7526
18-Sep-16,FA97305,HG74477GF1,Toulouse, 6 , $78 ,S-3776
19-Sep-16,FA90746,GFRT45FRD2,Marseille, 1 , $12 ,S-4823
23-Sep-16,FA77564,GFRT45FRD2,Paris, 1 , $12 ,S-2705
26-Sep-16,FA73173,GFRT45FRD2,Antwerp, 4 , $48 ,S-3557
30-Sep-16,FA78294,XRG527H52J,Brussels, 6 , $66 ,S-9952
1-Oct-16,FA85700,GFRT45FRD2,Brussels, 4 , $48 ,S-9952
4-Oct-16,FA81915,XRG527H52J,Antwerp, 6 , $66 ,S-3557
6-Oct-16,FA39259,GFRT45FRD2,Antwerp, 3 , $36 ,S-3557
8-Oct-16,FA84247,GFRT45FRD2,Brussels, 3 , $36 ,S-9952
9-Oct-16,FA59633,HG74477GF1,Lyon, 2 , $26 ,S-6290
10-Oct-16,FA98605,HG74477GF1,Marseille, 2 , $26 ,S-4823
14-Oct-16,FA67753,GFRT45FRD2,Brussels, 1 , $12 ,S-9952
19-Oct-16,FA89428,GFRT45FRD2,Antwerp, 1 , $12 ,S-3557
19-Oct-16,FA28015,GFRT45FRD2,Berlin, 2 , $24 ,S-4636
22-Oct-16,FA74062,GFRT45FRD2,Geneva, 2 , $24 ,S-3274
23-Oct-16,FA49993,XRG527H52J,Lyon, 8 , $88 ,S-6290
26-Oct-16,FA24723,HG74477GF1,Antwerp, 6 , $78 ,S-3557
27-Oct-16,FA61694,HG74477GF1,Brussels, 6 , $78 ,S-9952
29-Oct-16,FA29309,XRG527H52J,Madrid, 8 , $88 ,S-1768
30-Oct-16,FA14174,HG74477GF1,Zurich, 7 , $91 ,S-7393
1-Nov-16,FA41316,HG74477GF1,Berlin, 7 , $91 ,S-4636
5-Nov-16,FA69522,XRG527H52J,Brussels, 2 , $22 ,S-9952
7-Nov-16,FA41359,XRG527H52J,Antwerp, 2 , $22 ,S-3557
10-Nov-16,FA78829,GFRT45FRD2,Toulouse, 6 , $72 ,S-3776
12-Nov-16,FA39886,GFRT45FRD2,Barcelona, 6 , $72 ,S-8500
15-Nov-16,FA18587,GFRT45FRD2,Madrid, 6 , $72 ,S-1768
17-Nov-16,FA98085,GFRT45FRD2,Valencia, 6 , $72 ,S-7526
20-Nov-16,FA75190,GFRT45FRD2,Toulouse, 8 , $96 ,S-3776
21-Nov-16,FA56722,GFRT45FRD2,Lyon, 8 , $96 ,S-6290
23-Nov-16,FA81059,XRG527H52J,Antwerp, 3 , $33 ,S-3557
25-Nov-16,FA60417,XRG527H52J,Brussels, 3 , $33 ,S-9952
28-Nov-16,FA59751,GFRT45FRD2,Barcelona, 2 , $24 ,S-8500
30-Nov-16,FA50526,GFRT45FRD2,Brussels, 1 , $12 ,S-9952
4-Dec-16,FA12006,GFRT45FRD2,Antwerp, 8 , $96 ,S-3557
4-Dec-16,FA22767,GFRT45FRD2,Antwerp, 1 , $12 ,S-3557
4-Dec-16,FA47812,GFRT45FRD2,Madrid, 2 , $24 ,S-1768
5-Dec-16,FA55283,GFRT45FRD2,Brussels, 8 , $96 ,S-9952
7-Dec-16,FA13165,HG74477GF1,Valencia, 1 , $13 ,S-7526
9-Dec-16,FA80294,HG74477GF1,Geneva, 5 , $65 ,S-3274
13-Dec-16,FA63830,HG74477GF1,Barcelona, 1 , $13 ,S-8500
14-Dec-16,FA13214,GFRT45FRD2,Madrid, 1 , $12 ,S-1768
14-Dec-16,FA73440,HG74477GF1,Zurich, 5 , $65 ,S-7393
15-Dec-16,FA64884,GFRT45FRD2,Valencia, 1 , $12 ,S-7526
16-Dec-16,FA55770,GFRT45FRD2,Barcelona, 1 , $12 ,S-8500
19-Dec-16,FA37158,GFRT45FRD2,Madrid, 1 , $12 ,S-1768
20-Dec-16,FA31574,HG74477GF1,Berlin, 4 , $52 ,S-4636
23-Dec-16,FA74673,GFRT45FRD2,Brussels, 5 , $60 ,S-9952
25-Dec-16,FA38684,HG74477GF1,Zurich, 3 , $39 ,S-7393
25-Dec-16,FA45443,HG74477GF1,Geneva, 4 , $52 ,S-3274
26-Dec-16,FA48910,HG74477GF1,Berlin, 3 , $39 ,S-4636
27-Dec-16,FA85338,GFRT45FRD2,Antwerp, 5 , $60 ,S-3557
28-Dec-16,FA41820,GFRT45FRD2,Valencia, 8 , $96 ,S-7526
31-Dec-16,FA29046,GFRT45FRD2,Paris, 6 , $72 ,S-2705
31-Dec-16,FA21808,GFRT45FRD2,Barcelona, 8 , $96 ,S-8500
3-Jan-17,FA97455,GFRT45FRD2,Toulouse, 6 , $72 ,S-3776
5-Jan-17,FA59518,GFRT45FRD2,Geneva, 1 , $12 ,S-3274
6-Jan-17,FA96717,GFRT45FRD2,Zurich, 1 , $12 ,S-7393
9-Jan-17,FA96502,HG74477GF1,Berlin, 8 , $104 ,S-4636
11-Jan-17,FA44370,GFRT45FRD2,Antwerp, 5 , $60 ,S-3557
12-Jan-17,FA84182,GFRT45FRD2,Brussels, 5 , $60 ,S-9952
12-Jan-17,FA67702,HG74477GF1,Geneva, 8 , $104 ,S-3274
16-Jan-17,FA39203,HG74477GF1,Madrid, 6 , $78 ,S-1768
17-Jan-17,FA85141,HG74477GF1,Valencia, 6 , $78 ,S-7526
19-Jan-17,FA73317,GFRT45FRD2,Barcelona, 8 , $96 ,S-8500
21-Jan-17,FA39345,GFRT45FRD2,Madrid, 8 , $96 ,S-1768
24-Jan-17,FA36383,GFRT45FRD2,Paris, 3 , $36 ,S-2705
28-Jan-17,FA89416,HG74477GF1,Brussels, 5 , $65 ,S-9952
28-Jan-17,FA71865,GFRT45FRD2,Paris, 3 , $36 ,S-2705
31-Jan-17,FA77839,HG74477GF1,Marseille, 5 , $65 ,S-4823
3-Feb-17,FA62261,HG74477GF1,Antwerp, 1 , $13 ,S-3557
3-Feb-17,FA32239,HG74477GF1,Antwerp, 5 , $65 ,S-3557
5-Feb-17,FA56114,HG74477GF1,Brussels, 1 , $13 ,S-9952
5-Feb-17,FA62759,HG74477GF1,Paris, 5 , $65 ,S-2705
8-Feb-17,FA59787,XRG527H52J,Brussels, 4 , $44 ,S-9952
10-Feb-17,FA68870,XRG527H52J,Lyon, 2 , $22 ,S-6290
12-Feb-17,FA48383,XRG527H52J,Antwerp, 4 , $44 ,S-3557
12-Feb-17,FA88209,XRG527H52J,Marseille, 2 , $22 ,S-4823
14-Feb-17,FA25420,HG74477GF1,Antwerp, 6 , $78 ,S-3557
16-Feb-17,FA87100,GFRT45FRD2,Zurich, 7 , $84 ,S-7393
18-Feb-17,FA27218,GFRT45FRD2,Toulouse, 5 , $60 ,S-3776
19-Feb-17,FA49951,HG74477GF1,Brussels, 6 , $78 ,S-9952
20-Feb-17,FA73766,GFRT45FRD2,Berlin, 7 , $84 ,S-4636
22-Feb-17,FA30326,GFRT45FRD2,Lyon, 5 , $60 ,S-6290
23-Feb-17,FA54963,HG74477GF1,Geneva, 8 , $104 ,S-3274
25-Feb-17,FA10648,HG74477GF1,Zurich, 8 , $104 ,S-7393
27-Feb-17,FA88330,XRG527H52J,Paris, 3 , $33 ,S-2705
2-Mar-17,FA29401,GFRT45FRD2,Paris, 4 , $48 ,S-2705
2-Mar-17,FA43058,XRG527H52J,Toulouse, 3 , $33 ,S-3776
5-Mar-17,FA26800,GFRT45FRD2,Berlin, 7 , $84 ,S-4636
6-Mar-17,FA58608,GFRT45FRD2,Paris, 4 , $48 ,S-2705
8-Mar-17,FA72376,XRG527H52J,Marseille, 5 , $55 ,S-4823
9-Mar-17,FA29515,GFRT45FRD2,Geneva, 7 , $84 ,S-3274
12-Mar-17,FA40765,XRG527H52J,Paris, 5 , $55 ,S-2705
13-Mar-17,FA64145,HG74477GF1,Zurich, 8 , $104 ,S-7393
14-Mar-17,FA22458,HG74477GF1,Berlin, 8 , $104 ,S-4636
16-Mar-17,FA51881,GFRT45FRD2,Lyon, 7 , $84 ,S-6290
21-Mar-17,FA44711,GFRT45FRD2,Toulouse, 1 , $12 ,S-3776
22-Mar-17,FA69979,GFRT45FRD2,Marseille, 7 , $84 ,S-4823
23-Mar-17,FA91026,HG74477GF1,Valencia, 3 , $39 ,S-7526
25-Mar-17,FA28620,GFRT45FRD2,Lyon, 1 , $12 ,S-6290
27-Mar-17,FA56133,HG74477GF1,Barcelona, 3 , $39 ,S-8500
28-Mar-17,FA98902,HG74477GF1,Paris, 5 , $65 ,S-2705
31-Mar-17,FA10869,XRG527H52J,Madrid, 7 , $77 ,S-1768
1-Apr-17,FA83337,HG74477GF1,Toulouse, 5 , $65 ,S-3776
2-Apr-17,FA59097,XRG527H52J,Valencia, 7 , $77 ,S-7526
3-Apr-17,FA67589,XRG527H52J,Paris, 4 , $44 ,S-2705
5-Apr-17,FA61872,XRG527H52J,Paris, 4 , $44 ,S-2705
6-Apr-17,FA99526,GFRT45FRD2,Marseille, 1 , $12 ,S-4823
8-Apr-17,FA49212,GFRT45FRD2,Paris, 1 , $12 ,S-2705
8-Apr-17,FA61964,XRG527H52J,Geneva, 2 , $22 ,S-3274
10-Apr-17,FA10409,GFRT45FRD2,Lyon, 8 , $96 ,S-6290
12-Apr-17,FA28911,GFRT45FRD2,Marseille, 8 , $96 ,S-4823
12-Apr-17,FA17074,HG74477GF1,Barcelona, 1 , $13 ,S-8500
12-Apr-17,FA62163,XRG527H52J,Zurich, 2 , $22 ,S-7393
15-Apr-17,FA39130,XRG527H52J,Toulouse, 3 , $33 ,S-3776
18-Apr-17,FA84160,HG74477GF1,Paris, 4 , $52 ,S-2705
18-Apr-17,FA23054,HG74477GF1,Madrid, 1 , $13 ,S-1768
20-Apr-17,FA32217,XRG527H52J,Lyon, 3 , $33 ,S-6290
20-Apr-17,FA45247,XRG527H52J,Berlin, 2 , $22 ,S-4636
22-Apr-17,FA33782,XRG527H52J,Geneva, 2 , $22 ,S-3274
23-Apr-17,FA42994,XRG527H52J,Paris, 5 , $55 ,S-2705
24-Apr-17,FA69524,HG74477GF1,Toulouse, 4 , $52 ,S-3776
26-Apr-17,FA85670,GFRT45FRD2,Zurich, 1 , $12 ,S-7393
28-Apr-17,FA93794,XRG527H52J,Paris, 5 , $55 ,S-2705
29-Apr-17,FA98742,XRG527H52J,Brussels, 2 , $22 ,S-9952
1-May-17,FA53301,GFRT45FRD2,Berlin, 1 , $12 ,S-4636
2-May-17,FA22934,GFRT45FRD2,Geneva, 7 , $84 ,S-3274
5-May-17,FA80437,XRG527H52J,Antwerp, 2 , $22 ,S-3557
6-May-17,FA64038,XRG527H52J,Valencia, 5 , $55 ,S-7526
8-May-17,FA16173,GFRT45FRD2,Zurich, 7 , $84 ,S-7393
9-May-17,FA55367,XRG527H52J,Barcelona, 5 , $55 ,S-8500
10-May-17,FA63888,XRG527H52J,Marseille, 2 , $22 ,S-4823
13-May-17,FA76918,XRG527H52J,Paris, 2 , $22 ,S-2705
14-May-17,FA43768,HG74477GF1,Lyon, 3 , $39 ,S-6290
17-May-17,FA85122,HG74477GF1,Madrid, 2 , $26 ,S-1768
18-May-17,FA80596,HG74477GF1,Valencia, 2 , $26 ,S-7526
19-May-17,FA74704,HG74477GF1,Toulouse, 3 , $39 ,S-3776
19-May-17,FA98811,HG74477GF1,Marseille, 3 , $39 ,S-4823
20-May-17,FA21441,HG74477GF1,Lyon, 3 , $39 ,S-6290
22-May-17,FA48542,GFRT45FRD2,Paris, 8 , $96 ,S-2705
25-May-17,FA12552,GFRT45FRD2,Toulouse, 8 , $96 ,S-3776
26-May-17,FA10318,XRG527H52J,Paris, 1 , $11 ,S-2705
28-May-17,FA73633,XRG527H52J,Marseille, 8 , $88 ,S-4823
29-May-17,FA27992,XRG527H52J,Paris, 1 , $11 ,S-2705
30-May-17,FA55044,HG74477GF1,Berlin, 5 , $65 ,S-4636
31-May-17,FA67198,XRG527H52J,Paris, 8 , $88 ,S-2705
3-Jun-17,FA50830,GFRT45FRD2,Antwerp, 1 , $12 ,S-3557
3-Jun-17,FA92122,HG74477GF1,Geneva, 5 , $65 ,S-3274
6-Jun-17,FA42967,GFRT45FRD2,Brussels, 1 , $12 ,S-9952
6-Jun-17,FA18263,XRG527H52J,Lyon, 8 , $88 ,S-6290
8-Jun-17,FA59067,HG74477GF1,Toulouse, 1 , $13 ,S-3776
10-Jun-17,FA83794,GFRT45FRD2,Paris, 6 , $72 ,S-2705
10-Jun-17,FA82438,HG74477GF1,Lyon, 1 , $13 ,S-6290
11-Jun-17,FA67777,XRG527H52J,Marseille, 8 , $88 ,S-4823
14-Jun-17,FA63682,XRG527H52J,Barcelona, 5 , $55 ,S-8500
16-Jun-17,FA59657,GFRT45FRD2,Toulouse, 6 , $72 ,S-3776
17-Jun-17,FA65553,XRG527H52J,Madrid, 5 , $55 ,S-1768
17-Jun-17,FA82107,GFRT45FRD2,Zurich, 3 , $36 ,S-7393
18-Jun-17,FA81615,HG74477GF1,Brussels, 8 , $104 ,S-9952
19-Jun-17,FA49281,GFRT45FRD2,Berlin, 3 , $36 ,S-4636
21-Jun-17,FA47763,XRG527H52J,Geneva, 1 , $11 ,S-3274
22-Jun-17,FA31168,HG74477GF1,Antwerp, 8 , $104 ,S-3557
22-Jun-17,FA71876,GFRT45FRD2,Valencia, 3 , $36 ,S-7526
23-Jun-17,FA30311,GFRT45FRD2,Barcelona, 3 , $36 ,S-8500
25-Jun-17,FA89090,GFRT45FRD2,Antwerp, 4 , $48 ,S-3557
25-Jun-17,FA90302,XRG527H52J,Zurich, 1 , $11 ,S-7393
29-Jun-17,FA14754,GFRT45FRD2,Brussels, 4 , $48 ,S-9952
29-Jun-17,FA44789,HG74477GF1,Berlin, 8 , $104 ,S-4636
2-Jul-17,FA16461,HG74477GF1,Geneva, 8 , $104 ,S-3274
3-Jul-17,FA86552,XRG527H52J,Madrid, 7 , $77 ,S-1768
7-Jul-17,FA95219,XRG527H52J,Marseille, 5 , $55 ,S-4823
8-Jul-17,FA49592,XRG527H52J,Valencia, 7 , $77 ,S-7526
10-Jul-17,FA72754,XRG527H52J,Paris, 5 , $55 ,S-2705
11-Jul-17,FA72559,GFRT45FRD2,Zurich, 2 , $24 ,S-7393
15-Jul-17,FA38484,XRG527H52J,Barcelona, 5 , $55 ,S-8500
16-Jul-17,FA19382,GFRT45FRD2,Berlin, 2 , $24 ,S-4636
18-Jul-17,FA43353,HG74477GF1,Lyon, 7 , $91 ,S-6290
19-Jul-17,FA70305,XRG527H52J,Madrid, 5 , $55 ,S-1768
20-Jul-17,FA34157,HG74477GF1,Toulouse, 1 , $13 ,S-3776
22-Jul-17,FA60236,HG74477GF1,Marseille, 7 , $91 ,S-4823
24-Jul-17,FA88508,XRG527H52J,Paris, 7 , $77 ,S-2705
24-Jul-17,FA94861,HG74477GF1,Lyon, 1 , $13 ,S-6290
25-Jul-17,FA92698,XRG527H52J,Toulouse, 7 , $77 ,S-3776
28-Jul-17,FA39083,GFRT45FRD2,Valencia, 4 , $48 ,S-7526
30-Jul-17,FA21191,XRG527H52J,Brussels, 6 , $66 ,S-9952
1-Aug-17,FA64712,GFRT45FRD2,Barcelona, 4 , $48 ,S-8500
3-Aug-17,FA24424,GFRT45FRD2,Paris, 2 , $24 ,S-2705
4-Aug-17,FA72031,XRG527H52J,Antwerp, 6 , $66 ,S-3557
5-Aug-17,FA48915,GFRT45FRD2,Paris, 2 , $24 ,S-2705
5-Aug-17,FA81170,GFRT45FRD2,Geneva, 6 , $72 ,S-3274
9-Aug-17,FA20987,XRG527H52J,Marseille, 8 , $88 ,S-4823
10-Aug-17,FA17037,XRG527H52J,Paris, 8 , $88 ,S-2705
11-Aug-17,FA66542,XRG527H52J,Lyon, 7 , $77 ,S-6290
11-Aug-17,FA73391,GFRT45FRD2,Zurich, 6 , $72 ,S-7393
13-Aug-17,FA93204,XRG527H52J,Marseille, 7 , $77 ,S-4823
14-Aug-17,FA92838,GFRT45FRD2,Antwerp, 2 , $24 ,S-3557
17-Aug-17,FA75959,HG74477GF1,Berlin, 8 , $104 ,S-4636
20-Aug-17,FA85861,GFRT45FRD2,Brussels, 2 , $24 ,S-9952
20-Aug-17,FA67377,HG74477GF1,Toulouse, 6 , $78 ,S-3776
22-Aug-17,FA33164,HG74477GF1,Geneva, 8 , $104 ,S-3274
24-Aug-17,FA75193,XRG527H52J,Brussels, 6 , $66 ,S-9952
25-Aug-17,FA66090,HG74477GF1,Lyon, 6 , $78 ,S-6290
27-Aug-17,FA15057,GFRT45FRD2,Paris, 3 , $36 ,S-2705
29-Aug-17,FA10883,GFRT45FRD2,Toulouse, 3 , $36 ,S-3776
29-Aug-17,FA12152,XRG527H52J,Madrid, 4 , $44 ,S-1768
30-Aug-17,FA68331,XRG527H52J,Antwerp, 6 , $66 ,S-3557
31-Aug-17,FA17629,XRG527H52J,Antwerp, 1 , $11 ,S-3557
2-Sep-17,FA72207,XRG527H52J,Brussels, 1 , $11 ,S-9952
4-Sep-17,FA55565,XRG527H52J,Brussels, 1 , $11 ,S-9952
4-Sep-17,FA81283,XRG527H52J,Antwerp, 1 , $11 ,S-3557
4-Sep-17,FA90093,XRG527H52J,Valencia, 4 , $44 ,S-7526
6-Sep-17,FA35601,HG74477GF1,Zurich, 6 , $78 ,S-7393
9-Sep-17,FA60289,HG74477GF1,Berlin, 6 , $78 ,S-4636
10-Sep-17,FA54718,XRG527H52J,Geneva, 3 , $33 ,S-3274
12-Sep-17,FA33810,GFRT45FRD2,Antwerp, 4 , $48 ,S-3557
12-Sep-17,FA39188,XRG527H52J,Zurich, 3 , $33 ,S-7393
16-Sep-17,FA36097,GFRT45FRD2,Brussels, 4 , $48 ,S-9952
17-Sep-17,FA63354,GFRT45FRD2,Brussels, 4 , $48 ,S-9952
17-Sep-17,FA45836,GFRT45FRD2,Antwerp, 4 , $48 ,S-3557
18-Sep-17,FA16838,HG74477GF1,Paris, 7 , $91 ,S-2705
22-Sep-17,FA69899,HG74477GF1,Paris, 7 , $91 ,S-2705
22-Sep-17,FA13250,XRG527H52J,Berlin, 4 , $44 ,S-4636
25-Sep-17,FA32785,HG74477GF1,Barcelona, 2 , $26 ,S-8500
25-Sep-17,FA97845,XRG527H52J,Geneva, 4 , $44 ,S-3274
28-Sep-17,FA94406,HG74477GF1,Madrid, 2 , $26 ,S-1768
29-Sep-17,FA76037,XRG527H52J,Antwerp, 8 , $88 ,S-3557
2-Oct-17,FA22075,XRG527H52J,Valencia, 3 , $33 ,S-7526
4-Oct-17,FA79631,HG74477GF1,Madrid, 5 , $65 ,S-1768
5-Oct-17,FA11517,XRG527H52J,Brussels, 8 , $88 ,S-9952
6-Oct-17,FA34256,GFRT45FRD2,Barcelona, 1 , $12 ,S-8500
6-Oct-17,FA93094,XRG527H52J,Barcelona, 3 , $33 ,S-8500
6-Oct-17,FA33539,HG74477GF1,Valencia, 5 , $65 ,S-7526
10-Oct-17,FA95098,HG74477GF1,Marseille, 4 , $52 ,S-4823
11-Oct-17,FA92671,GFRT45FRD2,Madrid, 1 , $12 ,S-1768
12-Oct-17,FA68596,XRG527H52J,Zurich, 5 , $55 ,S-7393
14-Oct-17,FA64704,HG74477GF1,Lyon, 4 , $52 ,S-6290
14-Oct-17,FA83610,HG74477GF1,Paris, 4 , $52 ,S-2705
15-Oct-17,FA66237,XRG527H52J,Berlin, 5 , $55 ,S-4636
16-Oct-17,FA12133,HG74477GF1,Marseille, 4 , $52 ,S-4823
17-Oct-17,FA43928,XRG527H52J,Toulouse, 6 , $66 ,S-3776
18-Oct-17,FA24193,HG74477GF1,Brussels, 3 , $39 ,S-9952
20-Oct-17,FA26794,HG74477GF1,Berlin, 3 , $39 ,S-4636
22-Oct-17,FA20459,GFRT45FRD2,Antwerp, 6 , $72 ,S-3557
22-Oct-17,FA47253,XRG527H52J,Lyon, 6 , $66 ,S-6290
26-Oct-17,FA82150,HG74477GF1,Paris, 1 , $13 ,S-2705
27-Oct-17,FA99548,XRG527H52J,Brussels, 1 , $11 ,S-9952
28-Oct-17,FA72077,GFRT45FRD2,Berlin, 6 , $72 ,S-4636
28-Oct-17,FA97690,XRG527H52J,Paris, 7 , $77 ,S-2705
30-Oct-17,FA15720,GFRT45FRD2,Paris, 5 , $60 ,S-2705
30-Oct-17,FA47722,HG74477GF1,Toulouse, 1 , $13 ,S-3776
31-Oct-17,FA20923,XRG527H52J,Antwerp, 4 , $44 ,S-3557
31-Oct-17,FA75082,XRG527H52J,Berlin, 1 , $11 ,S-4636
1-Nov-17,FA37315,XRG527H52J,Paris, 7 , $77 ,S-2705
2-Nov-17,FA59879,GFRT45FRD2,Paris, 5 , $60 ,S-2705
3-Nov-17,FA86296,XRG527H52J,Berlin, 4 , $44 ,S-4636
3-Nov-17,FA30611,HG74477GF1,Geneva, 6 , $78 ,S-3274
7-Nov-17,FA19000,HG74477GF1,Brussels, 1 , $13 ,S-9952
7-Nov-17,FA14557,HG74477GF1,Zurich, 6 , $78 ,S-7393
11-Nov-17,FA55748,HG74477GF1,Berlin, 1 , $13 ,S-4636
11-Nov-17,FA27859,HG74477GF1,Valencia, 7 , $91 ,S-7526
12-Nov-17,FA95187,HG74477GF1,Barcelona, 7 , $91 ,S-8500
13-Nov-17,FA74653,GFRT45FRD2,Madrid, 3 , $36 ,S-1768
17-Nov-17,FA78331,GFRT45FRD2,Marseille, 2 , $24 ,S-4823
18-Nov-17,FA35715,GFRT45FRD2,Valencia, 3 , $36 ,S-7526
19-Nov-17,FA51975,HG74477GF1,Lyon, 8 , $104 ,S-6290
22-Nov-17,FA83064,GFRT45FRD2,Marseille, 2 , $24 ,S-4823
22-Nov-17,FA42721,HG74477GF1,Lyon, 8 , $104 ,S-6290
